question,answer,source,focus_area,q_word_len,a_word_len
How many people are affected by Treacher Collins syndrome ?,"This condition affects an estimated 1 in 50,000 people.",GHR,Treacher Collins syndrome,10,9
Is Schizencephaly inherited ?,Is schizencephaly inherited? Schizencephaly is not thought to be inherited in most cases and it rarely affects more than one person in a family. A few cases of familial schizencephaly have been linked to changes (mutations) in the EMX2 gene.,GARD,Schizencephaly,4,40
How many people are affected by ataxia neuropathy spectrum ?,The prevalence of ataxia neuropathy spectrum is unknown.,GHR,ataxia neuropathy spectrum,10,8
What are the treatments for oculofaciocardiodental syndrome ?,These resources address the diagnosis or management of oculofaciocardiodental syndrome:  - Genetic Testing Registry: Oculofaciocardiodental syndrome   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,GHR,oculofaciocardiodental syndrome,8,47
What are the treatments for Brown-Sequard syndrome ?,How might Brown-Sequard syndrome be treated?,GARD,Brown-Sequard syndrome,8,6
What are the treatments for Reticulohistiocytoma ?,"How might reticulohistiocytoma be treated? Reticulohistiocytoma (RH) typically resolve spontaneously over a period of months to years; however, surgical excision usually results in a cure.",GARD,Reticulohistiocytoma,7,25
How many people are affected by essential thrombocythemia ?,Essential thrombocythemia affects an estimated 1 to 24 per 1 million people worldwide.,GHR,essential thrombocythemia,9,13
What are the treatments for Alkhurma Hemorrhagic Fever (AHF) ?,"There is no standard specific treatment for the disease. Patients receive supportive therapy, which consists of balancing the patient’s fluid and electrolytes, maintaining oxygen status and blood pressure, and treatment for any complications. Mortality in hospitalized patients ranges from 1-20%.",CDC,Alkhurma Hemorrhagic Fever (AHF),10,40
What causes Adult Central Nervous System Tumors ?,The cause of most adult brain and spinal cord tumors is not known.,CancerGov,Adult Central Nervous System Tumors,8,13
How many people are affected by Kearns-Sayre syndrome ?,"The prevalence of Kearns-Sayre syndrome is approximately 1 to 3 per 100,000 individuals.",GHR,Kearns-Sayre syndrome,9,13
What causes Retroperitoneal fibrosis ?,"What causes retroperitoneal fibrosis? The cause of retroperitoneal fibrosis is unknown in many cases (idiopathic). Some cases occur in association with other factors, including: Asbestos exposure Smoking Neoplasms (tumor) Infections Trauma Radiotherapy Surgery Use of certain drugs",GARD,Retroperitoneal fibrosis,5,37
How many people are affected by dihydropyrimidine dehydrogenase deficiency ?,"Severe dihydropyrimidine dehydrogenase deficiency, with its early-onset neurological symptoms, is a rare disorder. Its prevalence is unknown. However, between 2 and 8 percent of the general population may be vulnerable to toxic reactions to fluoropyrimidine drugs caused by otherwise asymptomatic dihydropyrimidine dehydrogenase deficiency.",GHR,dihydropyrimidine dehydrogenase deficiency,10,43
How many people are affected by SOX2 anophthalmia syndrome ?,"SOX2 anophthalmia syndrome is estimated to affect 1 in 250,000 individuals. About 10 percent to 15 percent of people with anophthalmia in both eyes have SOX2 anophthalmia syndrome.",GHR,SOX2 anophthalmia syndrome,10,28
What causes Tubular aggregate myopathy ?,"What causes tubular aggregate myopathy? Currently, the underlying cause of tubular aggregate myopathy is not known. Some cases appear to be due to dominant mutations in the STIM1 gene.",GARD,Tubular aggregate myopathy,6,29
How many people are affected by SYNGAP1-related intellectual disability ?,SYNGAP1-related intellectual disability is a relatively common form of cognitive impairment. It is estimated to account for 1 to 2 percent of intellectual disability cases.,GHR,SYNGAP1-related intellectual disability,10,25
How many people are affected by Graves disease ?,"Graves disease affects about 1 in 200 people. The disease occurs more often in women than in men, which may be related to hormonal factors. Graves disease is the most common cause of thyroid overactivity (hyperthyroidism) in the United States.",GHR,Graves disease,9,40
What are the treatments for Miller syndrome ?,These resources address the diagnosis or management of Miller syndrome:  - Genetic Testing Registry: Miller syndrome   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,GHR,Miller syndrome,8,47
How many people are affected by Coffin-Siris syndrome ?,Coffin-Siris syndrome is a rare condition that is diagnosed in females more frequently than in males. Approximately 140 cases have been reported in the medical literature.,GHR,Coffin-Siris syndrome,9,26
How many people are affected by Cohen syndrome ?,"The exact incidence of Cohen syndrome is unknown. It has been diagnosed in fewer than 1,000 people worldwide. More cases are likely undiagnosed.",GHR,Cohen syndrome,9,23
How many people are affected by Rotor syndrome ?,"Rotor syndrome is a rare condition, although its prevalence is unknown.",GHR,Rotor syndrome,9,11
How many people are affected by PRICKLE1-related progressive myoclonus epilepsy with ataxia ?,The prevalence of PRICKLE1-related progressive myoclonus epilepsy with ataxia is unknown. The condition has been reported in three large families from Jordan and northern Israel and in at least two unrelated individuals.,GHR,PRICKLE1-related progressive myoclonus epilepsy with ataxia,13,32
Is piebaldism inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder.",GHR,piebaldism,4,26
How to diagnose Parasites - Ascariasis ?,"The standard method for diagnosing ascariasis is by identifying Ascaris eggs in a stool sample using a microscope. Because eggs may be difficult to find in light infections, a concentration procedure is recommended.",CDC,Parasites - Ascariasis,7,33
Is optic atrophy type 1 inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder.",GHR,optic atrophy type 1,7,26
How many people are affected by deoxyguanosine kinase deficiency ?,The prevalence of deoxyguanosine kinase deficiency is unknown. Approximately 100 affected individuals have been identified.,GHR,deoxyguanosine kinase deficiency,10,15
How many people are affected by monilethrix ?,The prevalence of monilethrix is unknown.,GHR,monilethrix,8,6
How to diagnose Binswanger's disease ?,How is Binswanger's disease diagnosed? A diagnosis of Binswanger's disease is often suspected based on the presence of characteristic signs and symptoms. Additional testing can then be ordered to confirm the diagnosis. This generally consists of imaging studies of the brain (i.e. CT scan and/or MRI scan).,GARD,Binswanger's disease,6,47
what research (or clinical trials) is being done for Repetitive Motion Disorders ?,Much of the on-going research on RMDs is aimed at prevention and rehabilitation. The National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS) funds research on RMDs.,NINDS,Repetitive Motion Disorders,13,28
What are the symptoms of Glaucoma ?,"At first, open-angle glaucoma has no symptoms. It causes no pain. Vision seems normal. Without treatment, people with glaucoma will slowly lose their peripheral, or side vision. They seem to be looking through a tunnel. Over time, straight-ahead vision may decrease until no vision remains.",NIHSeniorHealth,Glaucoma,7,45
Who is at risk for Breast Cancer? ?,"Sometimes breast cancer occurs in women who are pregnant or have just given birth. Breast cancer occurs about once in every 3,000 pregnancies. It occurs most often between the ages of 32 and 38.",CancerGov,Breast Cancer,8,34
What is the outlook for Complex Regional Pain Syndrome ?,"The prognosis for CRPS varies from person to person. Spontaneous remission from symptoms occurs in certain individuals. Others can have unremitting pain and crippling, irreversible changes in spite of treatment.",NINDS,Complex Regional Pain Syndrome,10,30
How many people are affected by hypermethioninemia ?,"Primary hypermethioninemia that is not caused by other disorders or excess methionine intake appears to be rare; only a small number of cases have been reported. The actual incidence is difficult to determine, however, since many individuals with hypermethioninemia have no symptoms.",GHR,hypermethioninemia,8,42
How many people are affected by glycogen storage disease type IV ?,"GSD IV is estimated to occur in 1 in 600,000 to 800,000 individuals worldwide. Type IV accounts for roughly 3 percent of all cases of glycogen storage disease.",GHR,glycogen storage disease type IV,12,28
Is Proteus syndrome inherited ?,"Because Proteus syndrome is caused by AKT1 gene mutations that occur during early development, the disorder is not inherited and does not run in families.",GHR,Proteus syndrome,5,25
How many people are affected by central core disease ?,"Central core disease is probably an uncommon condition, although its incidence is unknown.",GHR,central core disease,10,13
Is hereditary leiomyomatosis and renal cell cancer inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder.",GHR,hereditary leiomyomatosis and renal cell cancer,9,26
How many people are affected by prion disease ?,"These disorders are very rare. Although the exact prevalence of prion disease is unknown, studies suggest that this group of conditions affects about one person per million worldwide each year. Approximately 350 new cases are reported annually in the United States.",GHR,prion disease,9,41
What are the treatments for intranuclear rod myopathy ?,These resources address the diagnosis or management of intranuclear rod myopathy:  - Genetic Testing Registry: Nemaline myopathy 3   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,GHR,intranuclear rod myopathy,9,49
How many people are affected by Imerslund-Grsbeck syndrome ?,"Imerslund-Grsbeck syndrome is a rare condition that was first described in Finland and Norway; in these regions, the condition is estimated to affect 1 in 200,000 people. The condition has also been reported in other countries worldwide; its prevalence in these countries is unknown.",GHR,Imerslund-Grsbeck syndrome,9,44
How many people are affected by Smith-Magenis syndrome ?,"Smith-Magenis syndrome affects at least 1 in 25,000 individuals worldwide. Researchers believe that many people with this condition are not diagnosed, however, so the true prevalence may be closer to 1 in 15,000 individuals.",GHR,Smith-Magenis syndrome,9,34
How many people are affected by thiamine-responsive megaloblastic anemia syndrome ?,Thiamine-responsive megaloblastic anemia syndrome has been reported in approximately 30 families worldwide. Its prevalence is unknown.,GHR,thiamine-responsive megaloblastic anemia syndrome,11,16
what research (or clinical trials) is being done for Paresthesia ?,"The NINDS supports research on disorders of the brain, spinal cord, and peripheral nerves that can cause paresthesia. The goals of this research are to increase scientific understanding of these disorders and to find ways to prevent, treat, and cure them.",NINDS,Paresthesia,11,41
Is Kniest dysplasia inherited ?,"This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder.",GHR,Kniest dysplasia,5,26
How many people are affected by hypokalemic periodic paralysis ?,"Although its exact prevalence is unknown, hypokalemic periodic paralysis is estimated to affect 1 in 100,000 people. Men tend to experience symptoms of this condition more often than women.",GHR,hypokalemic periodic paralysis,10,29
How many people are affected by tarsal-carpal coalition syndrome ?,"This condition is very rare; however, the exact prevalence is unknown.",GHR,tarsal-carpal coalition syndrome,10,11
How many people are affected by triple A syndrome ?,"Triple A syndrome is a rare condition, although its exact prevalence is unknown.",GHR,triple A syndrome,10,13
How many people are affected by retinitis pigmentosa ?,"Retinitis pigmentosa is one of the most common inherited diseases of the retina (retinopathies). It is estimated to affect 1 in 3,500 to 1 in 4,000 people in the United States and Europe.",GHR,retinitis pigmentosa,9,33
How many people are affected by Pendred syndrome ?,"The prevalence of Pendred syndrome is unknown. However, researchers estimate that it accounts for 7 to 8 percent of all hearing loss that is present from birth (congenital hearing loss).",GHR,Pendred syndrome,9,30
Is Werner syndrome inherited ?,"Werner syndrome is inherited in an autosomal recessive pattern, which means both copies of the WRN gene in each cell have mutations. The parents of an individual with Werner syndrome each carry one copy of the mutated gene, but they typically do not show signs and symptoms of the condition.",GHR,Werner syndrome,5,50
What are the treatments for Winchester syndrome ?,These resources address the diagnosis or management of Winchester syndrome:  - Genetic Testing Registry: Winchester syndrome   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,GHR,Winchester syndrome,8,47
What is the outlook for Hemicrania Continua ?,Individuals may obtain complete to near-complete relief of symptoms with proper medical attention and daily medication. Some people may not be able to tolerate long-term use of indomethacin and may have to rely on less effective NSAIDs.,NINDS,Hemicrania Continua,8,37
Is rheumatoid arthritis inherited ?,"The inheritance pattern of rheumatoid arthritis is unclear because many genetic and environmental factors appear to be involved. However, having a close relative with rheumatoid arthritis likely increases a person's risk of developing the condition.",GHR,rheumatoid arthritis,5,35
How many people are affected by atypical hemolytic-uremic syndrome ?,"The incidence of atypical hemolytic-uremic syndrome is estimated to be 1 in 500,000 people per year in the United States. The atypical form is probably about 10 times less common than the typical form.",GHR,atypical hemolytic-uremic syndrome,10,34
How many people are affected by Czech dysplasia ?,The prevalence of Czech dysplasia is unknown; at least 11 families have been affected. Most of these families reside in the Czech Republic.,GHR,Czech dysplasia,9,23
How many people are affected by fibronectin glomerulopathy ?,"Fibronectin glomerulopathy is likely a rare condition, although its prevalence is unknown. At least 45 cases have been described in the scientific literature.",GHR,fibronectin glomerulopathy,9,23
What are the treatments for Mitochondrial neurogastrointestinal encephalopathy syndrome ?,"How might mitochondrial neurogastrointestinal encephalopathy syndrome be treated? References John M Shoffner. Mitochondrial Neurogastrointestinal Encephalopathy Disease. GeneReviews. May 11, 2010; http://www.ncbi.nlm.nih.gov/books/NBK1179/. Accessed 3/27/2011.",GARD,Mitochondrial neurogastrointestinal encephalopathy syndrome,10,23
what research (or clinical trials) is being done for Apraxia ?,"The NINDS supports research on movement disorders and conditions such as apraxia. The goals of this research are to increase scientific understanding of these disorders, and to find ways to prevent, treat, and cure them.",NINDS,Apraxia,11,35
How many people are affected by fatty acid hydroxylase-associated neurodegeneration ?,FAHN is a rare disorder; only a few dozen cases have been reported.,GHR,fatty acid hydroxylase-associated neurodegeneration,11,13
"How many people are affected by platyspondylic lethal skeletal dysplasia, Torrance type ?",This condition is very rare; only a few affected individuals have been reported worldwide.,GHR,"platyspondylic lethal skeletal dysplasia, Torrance type",13,14
What is the outlook for Mitochondrial Myopathy ?,"The prognosis for patients with mitochondrial myopathies varies greatly, depending largely on the type of disease and the degree of involvement of various organs. These disorders cause progressive weakness and can lead to death.",NINDS,Mitochondrial Myopathy,8,34
How many people are affected by ataxia-telangiectasia ?,"Ataxia-telangiectasia occurs in 1 in 40,000 to 100,000 people worldwide.",GHR,ataxia-telangiectasia,8,10
What are the treatments for tubular aggregate myopathy ?,These resources address the diagnosis or management of tubular aggregate myopathy:  - Genetic Testing Registry: Myopathy with tubular aggregates   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,GHR,tubular aggregate myopathy,9,50
How many people are affected by congenital fiber-type disproportion ?,"Congenital fiber-type disproportion is thought to be a rare condition, although its prevalence is unknown.",GHR,congenital fiber-type disproportion,10,15
What is the outlook for Coffin Lowry Syndrome ?,The prognosis for individuals with Coffin-Lowry syndrome varies depending on the severity of symptoms. Early intervention may improve the outlook for patients. Life span is reduced in some individuals with Coffin-Lowry syndrome.,NINDS,Coffin Lowry Syndrome,9,32
what research (or clinical trials) is being done for Moebius Syndrome ?,"The NINDS conducts and supports a broad range of research on neurogenetic disorders, including Moebius syndrome. The goals of these studies are to develop improved techniques to diagnose, treat, and eventually cure these disorders.",NINDS,Moebius Syndrome,12,34
How many people are affected by Aarskog-Scott syndrome ?,"Aarskog-Scott syndrome is believed to be a rare disorder; however, its prevalence is unknown because mildly affected people are often not diagnosed.",GHR,Aarskog-Scott syndrome,9,22
How many people are affected by spinocerebellar ataxia type 1 ?,"SCA1 affects 1 to 2 per 100,000 people worldwide.",GHR,spinocerebellar ataxia type 1,11,9
How many people are affected by intranuclear rod myopathy ?,Intranuclear rod myopathy is a rare disorder that has been identified in only a small number of individuals. Its exact prevalence is unknown.,GHR,intranuclear rod myopathy,10,23
How many people are affected by Blau syndrome ?,"Although Blau syndrome appears to be uncommon, its prevalence is unknown.",GHR,Blau syndrome,9,11
How many people are affected by narcolepsy ?,"Narcolepsy affects about 1 in 2,000 people in the United States and Western Europe. However, the disorder is likely underdiagnosed, particularly in people with mild symptoms. Worldwide, narcolepsy appears to be most common in Japan, where it affects an estimated 1 in 600 people.",GHR,narcolepsy,8,44
What are the treatments for Donohue syndrome ?,These resources address the diagnosis or management of Donohue syndrome:  - Genetic Testing Registry: Leprechaunism syndrome   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,GHR,Donohue syndrome,8,47
How many people are affected by craniofacial-deafness-hand syndrome ?,Craniofacial-deafness-hand syndrome is an extremely rare condition. Only a few cases have been reported in the scientific literature.,GHR,craniofacial-deafness-hand syndrome,9,18
What are the treatments for Sheldon-Hall syndrome ?,These resources address the diagnosis or management of Sheldon-Hall syndrome:  - Gillette Children's Hospital  - NYU Langone Medical Center   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,GHR,Sheldon-Hall syndrome,8,50
How many people are affected by Vohwinkel syndrome ?,Vohwinkel syndrome is a rare disorder; about 50 cases have been reported in the medical literature.,GHR,Vohwinkel syndrome,9,16
How many people are affected by primary hyperoxaluria ?,"Primary hyperoxaluria is estimated to affect 1 in 58,000 individuals worldwide. Type 1 is the most common form, accounting for approximately 80 percent of cases. Types 2 and 3 each account for about 10 percent of cases.",GHR,primary hyperoxaluria,9,37
How many people are affected by otospondylomegaepiphyseal dysplasia ?,This condition is rare; the prevalence is unknown. Only a few families with OSMED have been reported worldwide.,GHR,otospondylomegaepiphyseal dysplasia,9,18
What are the treatments for familial cylindromatosis ?,"These resources address the diagnosis or management of familial cylindromatosis:  - Genetic Testing Registry: Cylindromatosis, familial   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care",GHR,familial cylindromatosis,8,47
How many people are affected by Miller syndrome ?,Miller syndrome is a rare disorder; it is estimated to affect fewer than 1 in 1 million newborns. At least 30 cases have been reported in the medical literature.,GHR,Miller syndrome,9,29
How many people are affected by retinoblastoma ?,Retinoblastoma is diagnosed in 250 to 350 children per year in the United States. It accounts for about 4 percent of all cancers in children younger than 15 years.,GHR,retinoblastoma,8,29
How many people are affected by Cushing disease ?,"Cushing disease is estimated to occur in 10 to 15 per million people worldwide. For reasons that are unclear, Cushing disease affects females more often than males.",GHR,Cushing disease,9,27
How many people are affected by infantile-onset spinocerebellar ataxia ?,More than 20 individuals with IOSCA have been identified in Finland. A few individuals with similar symptoms have been reported elsewhere in Europe.,GHR,infantile-onset spinocerebellar ataxia,10,23
what research (or clinical trials) is being done for Lennox-Gastaut Syndrome ?,"The NINDS conducts and supports a broad program of basic and clinical research on epilepsy including Lennox-Gastaut syndrome. These studies are aimed at finding the causes of these disorders, improving the diagnosis, and developing new medications and other therapies.",NINDS,Lennox-Gastaut Syndrome,12,39
How many people are affected by trisomy 13 ?,"Trisomy 13 occurs in about 1 in 16,000 newborns. Although women of any age can have a child with trisomy 13, the chance of having a child with this condition increases as a woman gets older.",GHR,trisomy 13,9,36
How many people are affected by hyperparathyroidism-jaw tumor syndrome ?,The exact prevalence of hyperparathyroidism-jaw tumor syndrome is unknown. Approximately 200 cases have been reported in the medical literature.,GHR,hyperparathyroidism-jaw tumor syndrome,10,19
What is the outlook for Developmental Dyspraxia ?,Developmental dyspraxia is a lifelong disorder. Many individuals are able to compensate for their disabilities through occupational and speech therapy.,NINDS,Developmental Dyspraxia,8,20
what research (or clinical trials) is being done for Sjgren's Syndrome ?,"The goals of research on disorders such as Sjgren's syndrome focus on increasing knowledge and understanding of the disorder, improving diagnostic techniques, testing interventions, and finding ways to treat, prevent, and cure the disease.",NINDS,Sjgren's Syndrome,12,34
What is the outlook for Zellweger Syndrome ?,"The prognosis for infants with Zellweger syndrome is poor. Most infants do not survive past the first 6 months, and usually succumb to respiratory distress, gastrointestinal bleeding, or liver failure.",NINDS,Zellweger Syndrome,8,30
How many people are affected by Kawasaki disease ?,"In the United States and other Western countries, Kawasaki disease occurs in approximately 1 in 10,000 children under 5 each year. The condition is 10 to 20 times more common in East Asia, including Japan, Korea, and Taiwan.",GHR,Kawasaki disease,9,38
How many people are affected by neutral lipid storage disease with myopathy ?,Neutral lipid storage disease with myopathy is a rare condition; its incidence is unknown.,GHR,neutral lipid storage disease with myopathy,13,14
Is familial paroxysmal kinesigenic dyskinesia inherited ?,"This condition is inherited in an autosomal dominant pattern. Autosomal dominant inheritance means that one copy of an altered gene in each cell is sufficient to cause the disorder. In most cases, an affected person has one parent with the condition.",GHR,familial paroxysmal kinesigenic dyskinesia,7,41
What are the treatments for FOXG1 syndrome ?,"These resources address the diagnosis or management of FOXG1 syndrome:  - Genetic Testing Registry: Rett syndrome, congenital variant   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care",GHR,FOXG1 syndrome,8,49
What are the treatments for Hydranencephaly ?,There is no definitive treatment for hydranencephaly. Treatment is symptomatic and supportive. Hydrocephalus may be treated with a shunt (a surgically implanted tube that diverts fluid from one pathway to another).,NINDS,Hydranencephaly,7,31
How many people are affected by Snyder-Robinson syndrome ?,Snyder-Robinson syndrome is a rare condition; its prevalence is unknown. About 10 affected families have been identified worldwide.,GHR,Snyder-Robinson syndrome,9,18
what research (or clinical trials) is being done for Striatonigral Degeneration ?,The NINDS supports and conducts research on disorders of the brain and nervous system such as striatonigral degeneration. This research focuses on finding ways to prevent and treat these disorders.,NINDS,Striatonigral Degeneration,12,30
How many people are affected by Alpers-Huttenlocher syndrome ?,"The prevalence of Alpers-Huttenlocher syndrome is approximately 1 in 100,000 individuals.",GHR,Alpers-Huttenlocher syndrome,9,11
How many people are affected by STING-associated vasculopathy with onset in infancy ?,The prevalence of this condition is unknown. Only a few affected individuals have been described in the medical literature.,GHR,STING-associated vasculopathy with onset in infancy,13,19
What is the outlook for Cerebro-Oculo-Facio-Skeletal Syndrome (COFS) ?,COFS is a fatal disease. Most children do not live beyond five years.,NINDS,Cerebro-Oculo-Facio-Skeletal Syndrome (COFS),9,13
How many people are affected by Erdheim-Chester disease ?,"Erdheim-Chester disease is a rare disorder; its exact prevalence is unknown. More than 500 affected individuals worldwide have been described in the medical literature. For unknown reasons, men are slightly more likely to develop the disease, accounting for about 60 percent of cases.",GHR,Erdheim-Chester disease,9,43
How many people are affected by long-chain 3-hydroxyacyl-CoA dehydrogenase deficiency ?,"The incidence of LCHAD deficiency is unknown. One estimate, based on a Finnish population, indicates that 1 in 62,000 pregnancies is affected by this disorder. In the United States, the incidence is probably much lower.",GHR,long-chain 3-hydroxyacyl-CoA dehydrogenase deficiency,11,35
what research (or clinical trials) is being done for Spasticity ?,"The NINDS supports research on brain and spinal cord disorders that can cause spasticity. The goals of this research are to increase scientific understanding about these disorders and to find ways to prevent, treat, and cure them.",NINDS,Spasticity,11,37
How many people are affected by optic atrophy type 1 ?,"Optic atrophy type 1 is estimated to affect 1 in 50,000 people worldwide. This condition is more common in Denmark, where it affects approximately 1 in 10,000 people.",GHR,optic atrophy type 1,11,28
How many people are affected by Heart Attack ?,"Very common. Each year, more than 1 million people in the U.S. have a heart attack and about half of them die. About one-half of those who die do so within 1 hour of the start of symptoms and before reaching the hospital.",NIHSeniorHealth,Heart Attack,9,43
How many people are affected by Langer-Giedion syndrome ?,Langer-Giedion syndrome is a rare condition; its incidence is unknown.,GHR,Langer-Giedion syndrome,9,10
what research (or clinical trials) is being done for Multiple System Atrophy ?,"The NINDS supports research about MSA through grants to major medical institutions across the country. Researchers hope to learn why alpha-synuclein buildup occurs in MSA and Parkinsons disease, and how to prevent it. Drugs that reduce the abnormal alpha-synuclein buildup may be promising treatments for MSA",NINDS,Multiple System Atrophy,13,46
How many people are affected by dentinogenesis imperfecta ?,"Dentinogenesis imperfecta affects an estimated 1 in 6,000 to 8,000 people.",GHR,dentinogenesis imperfecta,9,11
What is the outlook for SUNCT Headache ?,There is no cure for these headaches. The disorder is not fatal but can cause considerable discomfort.,NINDS,SUNCT Headache,8,17
How many people are affected by hereditary hemochromatosis ?,"Type 1 hemochromatosis is one of the most common genetic disorders in the United States, affecting about 1 million people. It most often affects people of Northern European descent. The other types of hemochromatosis are considered rare and have been studied in only a small number of families worldwide.",GHR,hereditary hemochromatosis,9,49
How many people are affected by complement component 2 deficiency ?,"In Western countries, complement component 2 deficiency is estimated to affect 1 in 20,000 individuals; its prevalence in other areas of the world is unknown.",GHR,complement component 2 deficiency,11,25
What are the treatments for actin-accumulation myopathy ?,These resources address the diagnosis or management of actin-accumulation myopathy:  - Genetic Testing Registry: Nemaline myopathy 3   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,GHR,actin-accumulation myopathy,8,48
How many people are affected by hereditary antithrombin deficiency ?,"Hereditary antithrombin deficiency is estimated to occur in about 1 in 2,000 to 3,000 individuals. Of people who have experienced an abnormal blood clot, about 1 in 20 to 200 have hereditary antithrombin deficiency.",GHR,hereditary antithrombin deficiency,10,34
"Is hereditary angiopathy with nephropathy, aneurysms, and muscle cramps syndrome inherited ?","This condition is inherited in an autosomal dominant pattern, which means one copy of the altered gene in each cell is sufficient to cause the disorder.",GHR,"hereditary angiopathy with nephropathy, aneurysms, and muscle cramps syndrome",12,26
How many people are affected by microphthalmia with linear skin defects syndrome ?,The prevalence of microphthalmia with linear skin defects syndrome is unknown. More than 50 affected individuals have been identified.,GHR,microphthalmia with linear skin defects syndrome,13,19
How many people are affected by Pol III-related leukodystrophy ?,"Pol III-related leukodystrophy is a rare disorder; its prevalence is unknown. Only about 40 cases have been described in the medical literature. However, researchers believe that a significant percentage of people with an unspecified hypomyelinating leukodystrophy could have Pol III-related leukodystrophy.",GHR,Pol III-related leukodystrophy,10,41
"What causes Periodic fever, aphthous stomatitis, pharyngitis and adenitis ?","What causes periodic fever, aphthous stomatitis, pharyngitis, cervical adenitis (PFAPA)? The cause of PFAPA is unknown, although viral or autoimmune causes have been suggested.",GARD,"Periodic fever, aphthous stomatitis, pharyngitis and adenitis",10,24
what are marine toxins?,"Marine toxins are naturally occurring chemicals that can contaminate certain seafood. The seafood contaminated with these chemicals frequently looks, smells, and tastes normal. When humans eat such seafood, disease can result.",CDC,Marine Toxins,4,31
How many people are affected by Norrie disease ?,Norrie disease is a rare disorder; its exact incidence is unknown. It is not associated with any specific racial or ethnic group.,GHR,Norrie disease,9,22
What are the treatments for beta-ureidopropionase deficiency ?,These resources address the diagnosis or management of beta-ureidopropionase deficiency:  - Genetic Testing Registry: Deficiency of beta-ureidopropionase   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,GHR,beta-ureidopropionase deficiency,8,48
What are the treatments for Parasites - Cysticercosis ?,"Some people with cysticercosis do not need to be treated. There are medications available to treat cysticercosis for those who do need treatment. Sometimes surgery may be needed. Your doctor will advise you on which treatment is best for you.
    
More on: Resources for Health Professionals: Treatment
    
More on: Taeniasis",CDC,Parasites - Cysticercosis,9,50
what research (or clinical trials) is being done for Cerebellar Hypoplasia ?,"The National Institute of Neurological Disorders and Stroke (NINDS) supports research related to cerebellar hypoplasia and its associated disorders through grants to major research institutions across the country. Much of this research focuses on finding better ways to prevent, treat, and ultimately cure disorders that feature cerebellar hypoplasia.",NINDS,Cerebellar Hypoplasia,12,48
How many people are affected by hereditary hypophosphatemic rickets ?,"X-linked hypophosphatemic rickets is the most common form of rickets that runs in families. It affects about 1 in 20,000 newborns. Each of the other forms of hereditary hypophosphatemic rickets has been identified in only a few families.",GHR,hereditary hypophosphatemic rickets,10,38
What are the treatments for beta-mannosidosis ?,These resources address the diagnosis or management of beta-mannosidosis:  - Genetic Testing Registry: Beta-D-mannosidosis   These resources from MedlinePlus offer information about the diagnosis and management of various health conditions:  - Diagnostic Tests  - Drug Therapy  - Surgery and Rehabilitation  - Genetic Counseling   - Palliative Care,GHR,beta-mannosidosis,7,45
How many people are affected by hereditary diffuse gastric cancer ?,"Gastric cancer is the fourth most common form of cancer worldwide, affecting 900,000 people per year. HDGC probably accounts for less than 1 percent of these cases.",GHR,hereditary diffuse gastric cancer,11,27
How many people are affected by supravalvular aortic stenosis ?,"SVAS occurs in 1 in 20,000 newborns worldwide.",GHR,supravalvular aortic stenosis,10,8
